,precision,recall,f1-score,support
0,0.3819702602230483,0.45109068459322266,0.41366295527458014,7289.0
1,0.2850438994853164,0.3628830217768356,0.31928783382789316,5189.0
2,0.7065223274695535,0.5600223099365025,0.6247995596295144,23308.0
3,0.28351089203370966,0.42533396946564883,0.34023471042839426,4192.0
accuracy,0.5004502476361999,0.5004502476361999,0.5004502476361999,0.5004502476361999
macro avg,0.41426184480290695,0.4498324964430524,0.4244962647900955,39978.0
weighted avg,0.5482859094817342,0.5004502476361999,0.5168108933085673,39978.0
