,precision,recall,f1-score,support
Distinction,0.21806346623270953,0.47942754919499103,0.29977628635346754,559.0
Fail,0.30384167636786963,0.21499176276771004,0.25180897250361794,1214.0
Pass,0.5787009947337625,0.4233732876712329,0.48899876390605684,2336.0
Withdrawn,0.4558258642765685,0.5696,0.5064011379800853,1250.0
accuracy,0.41612241089755553,0.41612241089755553,0.41612241089755553,0.41612241089755553
macro avg,0.3891080004027275,0.4218481499084835,0.386746290185807,5359.0
weighted avg,0.4501565827166371,0.41612241089755553,0.4195882761057354,5359.0
